
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
EE:0C:3F:44:48:C1, 2025-12-23 20:50:59, 2025-12-23 20:51:28,  6, 130, WPA2, CCMP, PSK, -48,      163,      132,   0.  0.  0.  0,   7, QuangDT, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
E8:B0:C5:15:F0:D6, 2025-12-23 20:50:59, 2025-12-23 20:51:27, -82,       66, CE:DC:BE:7A:D3:23,
96:75:BC:CD:42:0F, 2025-12-23 20:50:59, 2025-12-23 20:51:07, -84,        6, B4:A2:5C:45:CC:50,
8A:67:47:5E:75:C2, 2025-12-23 20:50:59, 2025-12-23 20:51:28,  -1,     1062, C8:08:73:13:C7:D8,
28:D0:43:51:17:7C, 2025-12-23 20:50:59, 2025-12-23 20:51:21, -88,        9, 2E:FB:11:65:53:66,
DE:EC:97:6C:BF:82, 2025-12-23 20:51:00, 2025-12-23 20:51:28, -84,      416, 00:04:56:B6:4D:F0,UTE WIFI
84:7B:57:B0:77:F5, 2025-12-23 20:51:00, 2025-12-23 20:51:15, -69,        3, (not associated) ,
FA:A1:01:98:01:78, 2025-12-23 20:51:00, 2025-12-23 20:51:00, -78,        1, (not associated) ,
40:9F:38:23:87:E5, 2025-12-23 20:51:00, 2025-12-23 20:51:20, -70,       32, C6:43:FB:65:B8:06,
A4:97:B1:DC:CA:77, 2025-12-23 20:51:00, 2025-12-23 20:51:27, -83,        4, 72:47:AD:4E:2F:4C,
00:E0:4C:99:64:E4, 2025-12-23 20:51:00, 2025-12-23 20:51:16,  -1,        2, 6A:69:92:A1:CA:A5,
70:08:94:13:0D:0F, 2025-12-23 20:51:01, 2025-12-23 20:51:22, -87,       14, B6:CF:9B:43:13:A9,
58:C1:7A:D1:85:D0, 2025-12-23 20:51:01, 2025-12-23 20:51:01, -74,        1, (not associated) ,
36:A5:14:04:41:5C, 2025-12-23 20:51:01, 2025-12-23 20:51:01, -72,        1, (not associated) ,
E6:36:3D:AF:1A:9F, 2025-12-23 20:51:02, 2025-12-23 20:51:02,  -1,        1, C8:3A:35:1B:DF:D0,
1A:FE:A1:E4:9D:FD, 2025-12-23 20:51:02, 2025-12-23 20:51:02, -79,        2, (not associated) ,mesh
36:66:85:8B:FC:DA, 2025-12-23 20:51:02, 2025-12-23 20:51:02, -69,        1, (not associated) ,
BC:E6:7C:54:55:00, 2025-12-23 20:51:02, 2025-12-23 20:51:22, -86,        4, (not associated) ,
6E:25:4E:61:71:C5, 2025-12-23 20:51:02, 2025-12-23 20:51:28, -80,      411, 44:48:A1:94:72:E0,Free Wi-MESH,YmsQRN9R ~ !wv
C2:DA:C7:69:7D:BF, 2025-12-23 20:51:03, 2025-12-23 20:51:03, -51,        1, (not associated) ,
CA:EA:DC:01:79:2B, 2025-12-23 20:51:03, 2025-12-23 20:51:03, -85,        1, (not associated) ,
46:B2:33:03:19:6F, 2025-12-23 20:51:03, 2025-12-23 20:51:28, -43,       93, EE:0C:3F:44:48:C1,QuangDT
EE:30:DB:A4:DD:F6, 2025-12-23 20:51:03, 2025-12-23 20:51:25, -82,       19, (not associated) ,
