
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
32:8D:99:00:4C:F8, 2025-12-23 21:01:04, 2025-12-23 21:01:33,  6, 130, WPA2, CCMP, PSK, -48,      155,       72,   0.  0.  0.  0,   7, QuangDT, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
40:9F:38:23:87:E5, 2025-12-23 21:01:04, 2025-12-23 21:01:05, -76,        3, C6:43:FB:65:B8:06,
A2:AA:0C:F8:C2:7D, 2025-12-23 21:01:04, 2025-12-23 21:01:23,  -1,      359, C8:08:73:13:C7:D8,
E8:B0:C5:A8:D1:76, 2025-12-23 21:01:05, 2025-12-23 21:01:30, -63,       20, 4C:8F:ED:E9:DD:2B,
F4:26:79:72:89:9A, 2025-12-23 21:01:05, 2025-12-23 21:01:14, -84,        2, (not associated) ,
B4:A2:5C:45:40:D0, 2025-12-23 21:01:05, 2025-12-23 21:01:25, -76,        6, (not associated) ,
E8:B0:C5:15:F0:D6, 2025-12-23 21:01:05, 2025-12-23 21:01:33, -84,        9, CE:DC:BE:7A:D3:23,
D8:80:83:77:6D:BF, 2025-12-23 21:01:05, 2025-12-23 21:01:33, -87,       54, 52:CE:73:16:82:96,
CA:48:9A:87:CD:8A, 2025-12-23 21:01:06, 2025-12-23 21:01:06, -78,        1, (not associated) ,
00:E0:4C:99:64:E4, 2025-12-23 21:01:06, 2025-12-23 21:01:32, -46,       19, 6A:69:92:A1:CA:A5,
06:4C:78:EA:FE:CF, 2025-12-23 21:01:06, 2025-12-23 21:01:07, -78,       16, 00:00:00:00:00:00,
0E:9C:EE:F7:1F:03, 2025-12-23 21:01:07, 2025-12-23 21:01:29, -84,       11, 58:C1:7A:96:82:10,
46:65:36:C2:D8:D8, 2025-12-23 21:01:07, 2025-12-23 21:01:07, -85,        1, (not associated) ,
84:7B:57:B0:77:F5, 2025-12-23 21:01:07, 2025-12-23 21:01:33, -62,        7, (not associated) ,
18:26:49:8A:19:62, 2025-12-23 21:01:08, 2025-12-23 21:01:12, -82,        5, (not associated) ,DIRECT-
58:C1:7A:D1:85:D0, 2025-12-23 21:01:08, 2025-12-23 21:01:27, -68,        5, (not associated) ,
2E:FE:7C:0A:DE:E0, 2025-12-23 21:01:09, 2025-12-23 21:01:14, -67,        3, 96:77:B1:76:B2:5C,
E4:B3:18:04:8F:94, 2025-12-23 21:01:09, 2025-12-23 21:01:09, -87,        1, AA:34:6A:F5:1A:CC,
46:B2:33:03:19:6F, 2025-12-23 21:01:09, 2025-12-23 21:01:32, -29,       82, 32:8D:99:00:4C:F8,QuangDT
92:CC:B2:23:2D:7A, 2025-12-23 21:01:09, 2025-12-23 21:01:09, -61,        2, (not associated) ,
A8:93:4A:01:A2:D7, 2025-12-23 21:01:10, 2025-12-23 21:01:10, -84,        1, (not associated) ,
9A:3C:DE:C7:38:93, 2025-12-23 21:01:12, 2025-12-23 21:01:12, -72,        1, (not associated) ,HCMUTE-FIT
E0:0A:F6:B3:96:E7, 2025-12-23 21:01:12, 2025-12-23 21:01:31,  -1,        2, 9E:8E:42:1D:85:B4,
70:08:94:13:0D:0F, 2025-12-23 21:01:12, 2025-12-23 21:01:33, -88,        4, B6:CF:9B:43:13:A9,
B4:A2:5C:45:F3:D0, 2025-12-23 21:01:13, 2025-12-23 21:01:32, -73,       10, (not associated) ,
E8:B1:FC:B5:AD:C4, 2025-12-23 21:01:13, 2025-12-23 21:01:13, -79,        1, (not associated) ,
B4:A2:5C:46:1B:90, 2025-12-23 21:01:13, 2025-12-23 21:01:32, -84,        3, (not associated) ,
FF:FF:FF:FF:FF:FF, 2025-12-23 21:01:14, 2025-12-23 21:01:25, -48,      640, 32:8D:99:00:4C:F8,
B4:A2:5C:45:CC:50, 2025-12-23 21:01:14, 2025-12-23 21:01:14, -63,        1, (not associated) ,
9E:DE:93:A7:D2:49, 2025-12-23 21:01:15, 2025-12-23 21:01:31, -90,       13, B4:A2:5C:45:CC:50,
5E:C5:CC:34:49:F5, 2025-12-23 21:01:15, 2025-12-23 21:01:15, -84,        1, (not associated) ,
4E:A5:03:BC:C2:7C, 2025-12-23 21:01:15, 2025-12-23 21:01:15, -61,        4, (not associated) ,
BC:E6:7C:54:11:00, 2025-12-23 21:01:16, 2025-12-23 21:01:16, -80,        1, (not associated) ,
EE:40:61:01:C8:93, 2025-12-23 21:01:18, 2025-12-23 21:01:18, -53,        3, (not associated) ,
C4:E3:9F:52:44:05, 2025-12-23 21:01:19, 2025-12-23 21:01:24, -54,       13, 00:E0:4C:99:64:E4,
82:32:B9:59:CD:1F, 2025-12-23 21:01:20, 2025-12-23 21:01:20, -89,        1, (not associated) ,
2C:9C:58:C4:38:45, 2025-12-23 21:01:21, 2025-12-23 21:01:23, -86,        3, C2:32:FE:5A:88:DE,
EE:24:DB:D5:4C:83, 2025-12-23 21:01:21, 2025-12-23 21:01:21, -76,        1, (not associated) ,
FC:02:96:CA:D5:E0, 2025-12-23 21:01:21, 2025-12-23 21:01:32, -58,        9, 9A:CB:D4:8E:5D:E3,
C2:24:72:0E:E6:9C, 2025-12-23 21:01:22, 2025-12-23 21:01:22, -66,        1, (not associated) ,
5E:04:A3:88:76:57, 2025-12-23 21:01:22, 2025-12-23 21:01:22, -66,       15, 80:F3:DA:BA:90:CD,ESP32-BT-State
26:7B:16:1F:72:72, 2025-12-23 21:01:22, 2025-12-23 21:01:22, -67,        2, (not associated) ,
0E:20:CA:91:28:96, 2025-12-23 21:01:23, 2025-12-23 21:01:23, -79,        1, 20:A6:CD:73:94:20,
DA:61:1D:16:ED:BD, 2025-12-23 21:01:23, 2025-12-23 21:01:23, -87,        1, (not associated) ,
BA:5F:F3:62:B2:FB, 2025-12-23 21:01:24, 2025-12-23 21:01:24, -39,        3, (not associated) ,
A2:63:77:A9:77:64, 2025-12-23 21:01:25, 2025-12-23 21:01:25, -84,        3, (not associated) ,Thu? ?,𝑡𝑠 ♡ 𝑡𝑙,TOTOLINK_A810R
BE:7A:E8:0D:16:28, 2025-12-23 21:01:25, 2025-12-23 21:01:25, -75,        1, (not associated) ,
E0:C3:77:04:0B:44, 2025-12-23 21:01:25, 2025-12-23 21:01:25, -78,        2, (not associated) ,
FA:A1:01:98:01:78, 2025-12-23 21:01:25, 2025-12-23 21:01:25, -76,        1, (not associated) ,
48:5D:60:2A:75:71, 2025-12-23 21:01:26, 2025-12-23 21:01:31,  -1,        3, 96:77:B1:76:B2:5C,
E2:EF:05:B0:A8:CD, 2025-12-23 21:01:26, 2025-12-23 21:01:26, -90,        1, (not associated) ,hé lô Trịu
46:81:11:A1:C6:FC, 2025-12-23 21:01:26, 2025-12-23 21:01:26, -81,        1, (not associated) ,
F6:7F:01:96:A9:12, 2025-12-23 21:01:26, 2025-12-23 21:01:26, -86,        1, (not associated) ,
B4:A2:5C:46:08:90, 2025-12-23 21:01:27, 2025-12-23 21:01:27, -79,        1, (not associated) ,
82:17:26:6D:B1:AC, 2025-12-23 21:01:27, 2025-12-23 21:01:32, -81,       16, 8E:F4:B4:FA:E2:25,Spidey
B6:6A:01:1F:A5:9A, 2025-12-23 21:01:28, 2025-12-23 21:01:28, -84,        1, (not associated) ,
C4:03:A8:01:9A:BE, 2025-12-23 21:01:28, 2025-12-23 21:01:28, -87,        1, (not associated) ,
E2:B7:AB:62:C2:5A, 2025-12-23 21:01:29, 2025-12-23 21:01:29, -71,        1, (not associated) ,
36:EC:B8:97:75:BC, 2025-12-23 21:01:31, 2025-12-23 21:01:31, -79,        1, (not associated) ,
B8:F6:B1:16:5B:EF, 2025-12-23 21:01:32, 2025-12-23 21:01:32, -74,        2, (not associated) ,
B4:A2:5C:46:0E:70, 2025-12-23 21:01:33, 2025-12-23 21:01:33, -78,        1, (not associated) ,
AC:74:B1:DE:E9:96, 2025-12-23 21:01:33, 2025-12-23 21:01:33, -81,        1, (not associated) ,

