LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2025-12-23 21:02:32,1900-01-00 00:00:00,,DC:97:BA:5D:0F:2A,-85,,0.000000,0.000000,0.000,0.000,Client
2025-12-23 21:02:32,1900-01-00 00:00:00,,C8:08:73:13:C7:A8,-75, ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:32,1900-01-00 00:00:00,,B4:5D:A0:E3:DA:02,-73, ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:32,1900-01-00 00:00:00,,B4:5D:A0:E3:DA:02,-73, WPA ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:32,1900-01-00 00:00:00,,12:3F:AC:68:41:F1,-84,,0.000000,0.000000,0.000,0.000,Client
2025-12-23 21:02:32,1900-01-00 00:00:00,,B0:B8:A7:4A:F9:80,-60, ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:32,1900-01-00 00:00:00,,B0:B8:A7:4A:F9:81,-60, ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:32,1900-01-00 00:00:00,,B0:B8:A7:4A:F9:82,-58, ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:32,1900-01-00 00:00:00,,A8:BD:27:D6:69:41,-83, OPN,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:32,1900-01-00 00:00:00,,DC:97:BA:5D:0F:2A,-92,,0.000000,0.000000,0.000,0.000,Client
2025-12-23 21:02:32,1900-01-00 00:00:00,,DC:97:BA:5D:0F:2A,-88,,0.000000,0.000000,0.000,0.000,Client
2025-12-23 21:02:32,1900-01-00 00:00:00,,DC:97:BA:5D:0F:2A,-90,,0.000000,0.000000,0.000,0.000,Client
2025-12-23 21:02:32,1900-01-00 00:00:00,,DC:97:BA:5D:0F:2A,-88,,0.000000,0.000000,0.000,0.000,Client
2025-12-23 21:02:32,1900-01-00 00:00:00,,00:E0:4C:99:64:E4,-47, ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:32,1900-01-00 00:00:00,,6A:69:92:A1:CA:A5,-56, ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:32,1900-01-00 00:00:00,,32:8D:99:00:4C:F8,-56, ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:32,1900-01-00 00:00:00,ThanhNhan-ext_2.4G,00:E0:4C:99:64:E4,-48, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:32,1900-01-00 00:00:00,ThanhNhan,6A:69:92:A1:CA:A5,-54, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:32,1900-01-00 00:00:00,ThanhNhan,6A:69:92:A1:CA:A5,-56, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:32,1900-01-00 00:00:00,ThanhNhan,6A:69:92:A1:CA:A5,-55, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:32,1900-01-00 00:00:00,,4C:8F:ED:E9:DD:2B,-84, ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:32,1900-01-00 00:00:00,ThanhNhan,6A:69:92:A1:CA:A5,-54, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:32,1900-01-00 00:00:00,ThanhNhan,6A:69:92:A1:CA:A5,-55, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:32,1900-01-00 00:00:00,ThanhNhan,6A:69:92:A1:CA:A5,-55, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:32,1900-01-00 00:00:00,ThanhNhan,6A:69:92:A1:CA:A5,-54, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:32,1900-01-00 00:00:00,ThanhNhan-ext_2.4G,00:E0:4C:99:64:E4,-47, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:32,1900-01-00 00:00:00,,9A:CB:D4:8E:5D:E3,-63, ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:32,1900-01-00 00:00:00,,4C:8F:ED:E9:DD:2B,-64, WPA ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:32,1900-01-00 00:00:00,,46:B2:33:03:19:6F,-48,,0.000000,0.000000,0.000,0.000,Client
2025-12-23 21:02:32,1900-01-00 00:00:00,,46:B2:33:03:19:6F,-48,,0.000000,0.000000,0.000,0.000,Client
2025-12-23 21:02:32,1900-01-00 00:00:00,,46:B2:33:03:19:6F,-48,,0.000000,0.000000,0.000,0.000,Client
2025-12-23 21:02:32,1900-01-00 00:00:00,,46:B2:33:03:19:6F,-47,,0.000000,0.000000,0.000,0.000,Client
2025-12-23 21:02:32,1900-01-00 00:00:00,,46:B2:33:03:19:6F,-49,,0.000000,0.000000,0.000,0.000,Client
2025-12-23 21:02:32,1900-01-00 00:00:00,,46:B2:33:03:19:6F,-47,,0.000000,0.000000,0.000,0.000,Client
2025-12-23 21:02:32,1900-01-00 00:00:00,,46:B2:33:03:19:6F,-49,,0.000000,0.000000,0.000,0.000,Client
2025-12-23 21:02:32,1900-01-00 00:00:00,,46:B2:33:03:19:6F,-48,,0.000000,0.000000,0.000,0.000,Client
2025-12-23 21:02:32,1900-01-00 00:00:00,,46:B2:33:03:19:6F,-47,,0.000000,0.000000,0.000,0.000,Client
2025-12-23 21:02:32,1900-01-00 00:00:00,,46:B2:33:03:19:6F,-49,,0.000000,0.000000,0.000,0.000,Client
2025-12-23 21:02:32,1900-01-00 00:00:00,,46:B2:33:03:19:6F,-47,,0.000000,0.000000,0.000,0.000,Client
2025-12-23 21:02:32,1900-01-00 00:00:00,,46:B2:33:03:19:6F,-49,,0.000000,0.000000,0.000,0.000,Client
2025-12-23 21:02:32,1900-01-00 00:00:00,,46:B2:33:03:19:6F,-48,,0.000000,0.000000,0.000,0.000,Client
2025-12-23 21:02:32,1900-01-00 00:00:00,,46:B2:33:03:19:6F,-48,,0.000000,0.000000,0.000,0.000,Client
2025-12-23 21:02:32,1900-01-00 00:00:00,,46:B2:33:03:19:6F,-48,,0.000000,0.000000,0.000,0.000,Client
2025-12-23 21:02:32,1900-01-00 00:00:00,,46:B2:33:03:19:6F,-47,,0.000000,0.000000,0.000,0.000,Client
2025-12-23 21:02:32,1900-01-00 00:00:00,ThanhNhan,6A:69:92:A1:CA:A5,-54, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:32,1900-01-00 00:00:00,ThanhNhan,6A:69:92:A1:CA:A5,-54, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:32,1900-01-00 00:00:00,ThanhNhan,6A:69:92:A1:CA:A5,-54, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:32,1900-01-00 00:00:00,ThanhNhan,6A:69:92:A1:CA:A5,-55, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:32,1900-01-00 00:00:00,QuangDT,32:8D:99:00:4C:F8,-56, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:32,1900-01-00 00:00:00,QuangDT,32:8D:99:00:4C:F8,-56, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:32,1900-01-00 00:00:00,,44:48:A1:94:72:E0,-70, ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:32,1900-01-00 00:00:00,ThanhNhan-ext_2.4G,00:E0:4C:99:64:E4,-47, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:32,1900-01-00 00:00:00,ThanhNhan,6A:69:92:A1:CA:A5,-55, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:32,1900-01-00 00:00:00,,4C:8F:ED:E9:DD:2B,-85, WPA ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:32,1900-01-00 00:00:00,,46:B2:33:03:19:6F,-44,,0.000000,0.000000,0.000,0.000,Client
2025-12-23 21:02:32,1900-01-00 00:00:00,QuangDT,32:8D:99:00:4C:F8,-57, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:32,1900-01-00 00:00:00,ThanhNhan-ext_2.4G,00:E0:4C:99:64:E4,-47, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:32,1900-01-00 00:00:00,,4C:8F:ED:E9:DD:2B,-65, WPA ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:32,1900-01-00 00:00:00,ThanhNhan,6A:69:92:A1:CA:A5,-55, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:32,1900-01-00 00:00:00,,4C:8F:ED:E9:DD:2B,-64, WPA ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:32,1900-01-00 00:00:00,,46:B2:33:03:19:6F,-43,,0.000000,0.000000,0.000,0.000,Client
2025-12-23 21:02:32,1900-01-00 00:00:00,ThanhNhan-ext_2.4G,00:E0:4C:99:64:E4,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:32,1900-01-00 00:00:00,MRV,9A:CB:D4:8E:5D:E3,-66, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:32,1900-01-00 00:00:00,,4C:8F:ED:E9:DD:2B,-64, WPA ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:32,1900-01-00 00:00:00,,4C:8F:ED:E9:DD:2B,-64, WPA ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:32,1900-01-00 00:00:00,,46:B2:33:03:19:6F,-34,,0.000000,0.000000,0.000,0.000,Client
2025-12-23 21:02:32,1900-01-00 00:00:00,,46:B2:33:03:19:6F,-35,,0.000000,0.000000,0.000,0.000,Client
2025-12-23 21:02:32,1900-01-00 00:00:00,QuangDT,32:8D:99:00:4C:F8,-72, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:33,1900-01-00 00:00:00,ThanhNhan-ext_2.4G,00:E0:4C:99:64:E4,-47, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:33,1900-01-00 00:00:00,,46:B2:33:03:19:6F,-33,,0.000000,0.000000,0.000,0.000,Client
2025-12-23 21:02:33,1900-01-00 00:00:00,,46:B2:33:03:19:6F,-71,,0.000000,0.000000,0.000,0.000,Client
2025-12-23 21:02:33,1900-01-00 00:00:00,QuangDT,32:8D:99:00:4C:F8,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:33,1900-01-00 00:00:00,ThanhNhan-ext_2.4G,00:E0:4C:99:64:E4,-48, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:33,1900-01-00 00:00:00,ThanhNhan,6A:69:92:A1:CA:A5,-55, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:33,1900-01-00 00:00:00,ThanhNhan-ext_2.4G,00:E0:4C:99:64:E4,-48, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:33,1900-01-00 00:00:00,,46:B2:33:03:19:6F,-29,,0.000000,0.000000,0.000,0.000,Client
2025-12-23 21:02:33,1900-01-00 00:00:00,,4C:8F:ED:E9:DD:2B,-65, WPA ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:33,1900-01-00 00:00:00,ThanhNhan,6A:69:92:A1:CA:A5,-63, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:33,1900-01-00 00:00:00,MRV,9A:CB:D4:8E:5D:E3,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:33,1900-01-00 00:00:00,,4C:8F:ED:E9:DD:2B,-64, WPA ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:33,1900-01-00 00:00:00,,4C:8F:ED:E9:DD:2B,-62, WPA ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:33,1900-01-00 00:00:00,QuangDT,32:8D:99:00:4C:F8,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:33,1900-01-00 00:00:00,ThanhNhan-ext_2.4G,00:E0:4C:99:64:E4,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:33,1900-01-00 00:00:00,ThanhNhan,6A:69:92:A1:CA:A5,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:33,1900-01-00 00:00:00,,4C:8F:ED:E9:DD:2B,-66, WPA ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:33,1900-01-00 00:00:00,QuangDT,32:8D:99:00:4C:F8,-50, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:33,1900-01-00 00:00:00,,4C:8F:ED:E9:DD:2B,-65, WPA ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:33,1900-01-00 00:00:00,ThanhNhan-ext_2.4G,00:E0:4C:99:64:E4,-47, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:33,1900-01-00 00:00:00,ThanhNhan,6A:69:92:A1:CA:A5,-54, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:33,1900-01-00 00:00:00,MRV,9A:CB:D4:8E:5D:E3,-65, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:33,1900-01-00 00:00:00,,46:B2:33:03:19:6F,-32,,0.000000,0.000000,0.000,0.000,Client
2025-12-23 21:02:33,1900-01-00 00:00:00,,4C:8F:ED:E9:DD:2B,-65, WPA ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:33,1900-01-00 00:00:00,,46:B2:33:03:19:6F,-34,,0.000000,0.000000,0.000,0.000,Client
2025-12-23 21:02:33,1900-01-00 00:00:00,,4C:8F:ED:E9:DD:2B,-63, WPA ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:33,1900-01-00 00:00:00,ThanhNhan-ext_2.4G,00:E0:4C:99:64:E4,-44, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:33,1900-01-00 00:00:00,QuangDT,32:8D:99:00:4C:F8,-48, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:33,1900-01-00 00:00:00,ThanhNhan,6A:69:92:A1:CA:A5,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:33,1900-01-00 00:00:00,ThanhNhan,6A:69:92:A1:CA:A5,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:33,1900-01-00 00:00:00,MRV,9A:CB:D4:8E:5D:E3,-64, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:33,1900-01-00 00:00:00,ThanhNhan-ext_2.4G,00:E0:4C:99:64:E4,-44, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 21:02:33,1900-01-00 00:00:00,ThanhNhan,6A:69:92:A1:CA:A5,-55, WPA2 ,0.000000,0.000000,0.000,0.000,AP
