
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
32:8D:99:00:4C:F8, 2025-12-23 21:06:07, 2025-12-23 21:10:16,  6, 130, WPA2, CCMP, PSK, -44,      926,      126,   0.  0.  0.  0,   7, QuangDT, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
D8:80:83:77:6D:BF, 2025-12-23 21:06:07, 2025-12-23 21:10:16, -91,       59, 52:CE:73:16:82:96,
5C:BA:EF:20:91:01, 2025-12-23 21:06:07, 2025-12-23 21:09:17, -80,        3, (not associated) ,Free Wi-MESH
46:B2:33:03:19:6F, 2025-12-23 21:06:08, 2025-12-23 21:08:53, -32,      209, 32:8D:99:00:4C:F8,QuangDT
FC:02:96:CA:D5:E0, 2025-12-23 21:06:08, 2025-12-23 21:10:15, -65,      257, 9A:CB:D4:8E:5D:E3,
96:75:BC:CD:42:0F, 2025-12-23 21:06:08, 2025-12-23 21:09:05, -92,       10, B4:A2:5C:45:CC:50,UTE WIFI
C4:E3:9F:52:44:05, 2025-12-23 21:06:09, 2025-12-23 21:10:16, -61,      407, 00:E0:4C:99:64:E4,GW_AP_26069532
B4:A2:5C:45:36:B0, 2025-12-23 21:06:10, 2025-12-23 21:10:02, -74,        8, (not associated) ,
16:27:26:88:19:FC, 2025-12-23 21:06:10, 2025-12-23 21:09:42, -86,       85, C8:08:73:13:C7:D8,#SPKT Free Miawifi
44:38:E8:DD:BC:15, 2025-12-23 21:06:10, 2025-12-23 21:10:12, -84,       18, 06:85:A1:A0:BD:67,
BA:04:ED:35:1C:E4, 2025-12-23 21:06:10, 2025-12-23 21:06:10, -87,        1, (not associated) ,
D6:4A:BE:32:EF:AA, 2025-12-23 21:06:10, 2025-12-23 21:06:10, -83,        2, (not associated) ,
2C:9C:58:C4:38:45, 2025-12-23 21:06:10, 2025-12-23 21:10:13, -89,       22, C2:32:FE:5A:88:DE,
40:C7:3C:C8:0A:8C, 2025-12-23 21:06:11, 2025-12-23 21:06:11, -88,        1, (not associated) ,Free Wi-MESH
32:C9:59:C2:76:6E, 2025-12-23 21:06:11, 2025-12-23 21:09:19, -93,        3, B4:A2:5C:45:CC:50,
00:E0:4C:99:64:E4, 2025-12-23 21:06:11, 2025-12-23 21:10:15, -51,      162, 6A:69:92:A1:CA:A5,
FE:B5:6A:7B:CC:0E, 2025-12-23 21:06:11, 2025-12-23 21:06:26,  -1,       20, C8:08:73:13:C7:D8,
44:38:E8:6C:5D:F4, 2025-12-23 21:06:12, 2025-12-23 21:09:59, -83,       31, DA:D6:00:30:5D:DF,
E0:C3:77:04:0B:44, 2025-12-23 21:06:12, 2025-12-23 21:09:51, -77,        7, (not associated) ,
F6:B4:D4:98:45:A7, 2025-12-23 21:06:12, 2025-12-23 21:06:12, -72,        1, (not associated) ,
62:3B:2F:1C:96:BA, 2025-12-23 21:06:12, 2025-12-23 21:06:12, -87,        1, (not associated) ,
C2:1F:7C:B5:1E:AB, 2025-12-23 21:06:13, 2025-12-23 21:06:22, -89,       55, C8:08:73:13:C7:D8,
0E:20:CA:91:28:96, 2025-12-23 21:06:13, 2025-12-23 21:10:14, -89,       29, 20:A6:CD:73:94:20,
76:3A:4B:D4:86:5F, 2025-12-23 21:06:13, 2025-12-23 21:06:13, -86,        2, (not associated) ,
4A:FA:6D:52:05:FE, 2025-12-23 21:06:15, 2025-12-23 21:06:15, -76,        1, (not associated) ,
7C:70:DB:E1:81:AB, 2025-12-23 21:06:15, 2025-12-23 21:06:15, -76,        1, (not associated) ,Free Wi-MESH
7E:99:F7:94:91:F4, 2025-12-23 21:06:16, 2025-12-23 21:06:16, -82,        2, (not associated) ,
B4:A2:5C:45:40:D0, 2025-12-23 21:06:16, 2025-12-23 21:10:09, -78,       12, (not associated) ,
B4:A2:5C:46:08:90, 2025-12-23 21:06:17, 2025-12-23 21:09:51, -81,        9, (not associated) ,
26:CC:1B:F4:78:2F, 2025-12-23 21:06:17, 2025-12-23 21:06:17, -79,        1, (not associated) ,
70:08:94:13:0D:0F, 2025-12-23 21:06:17, 2025-12-23 21:09:11, -87,       41, B6:CF:9B:43:13:A9,
FF:FF:FF:FF:FF:FF, 2025-12-23 21:06:17, 2025-12-23 21:10:16, -44,    12309, 32:8D:99:00:4C:F8,
F4:26:79:72:89:9A, 2025-12-23 21:06:17, 2025-12-23 21:10:01, -77,       12, (not associated) ,
CA:58:3D:9F:85:7C, 2025-12-23 21:06:17, 2025-12-23 21:06:53, -75,        2, (not associated) ,
84:1B:77:D3:CF:34, 2025-12-23 21:06:18, 2025-12-23 21:08:24, -55,        3, 4C:8F:ED:E9:DD:2B,CauBeButChi
72:74:67:51:DC:EB, 2025-12-23 21:06:18, 2025-12-23 21:06:18, -39,        2, (not associated) ,
FA:93:95:C6:0C:E9, 2025-12-23 21:06:18, 2025-12-23 21:06:18, -63,        2, (not associated) ,Nguyen Viet Duy
7E:C1:B7:48:13:89, 2025-12-23 21:06:21, 2025-12-23 21:06:21, -89,        1, (not associated) ,
B4:A2:5C:45:F3:D0, 2025-12-23 21:06:22, 2025-12-23 21:10:11, -74,       20, (not associated) ,
DE:9B:15:94:0E:3E, 2025-12-23 21:06:22, 2025-12-23 21:09:15, -40,       27, (not associated) ,
46:F3:2D:0D:9C:CA, 2025-12-23 21:06:24, 2025-12-23 21:06:24, -45,        1, (not associated) ,
58:CD:C9:53:F2:03, 2025-12-23 21:06:26, 2025-12-23 21:10:06, -84,       46, 62:6C:AD:52:C4:FB,
5E:9A:D7:ED:26:75, 2025-12-23 21:06:27, 2025-12-23 21:06:27, -87,        1, (not associated) ,#法轮功真相 - BanCanBiet
B2:8A:7A:1D:04:70, 2025-12-23 21:06:28, 2025-12-23 21:09:59, -64,       34, (not associated) ,Nguyen Viet Duy
BC:E6:7C:54:11:00, 2025-12-23 21:06:30, 2025-12-23 21:08:46, -80,        6, (not associated) ,
9E:DE:93:A7:D2:49, 2025-12-23 21:06:30, 2025-12-23 21:09:28, -91,       34, B4:A2:5C:45:CC:50,UTE WIFI
52:12:B2:77:1B:6D, 2025-12-23 21:06:30, 2025-12-23 21:06:30, -78,        1, (not associated) ,
BA:37:57:79:53:63, 2025-12-23 21:06:30, 2025-12-23 21:06:30, -88,        1, (not associated) ,
12:81:DD:B6:A3:CE, 2025-12-23 21:06:32, 2025-12-23 21:06:32, -78,        1, (not associated) ,
5E:46:7B:33:70:2E, 2025-12-23 21:06:32, 2025-12-23 21:06:42, -85,       40, 34:FC:A9:77:9A:42,
02:07:C7:4E:37:26, 2025-12-23 21:06:33, 2025-12-23 21:09:18, -82,      155, 20:A6:CD:73:94:20,Free Wi-MESH
F4:46:37:50:FD:A2, 2025-12-23 21:06:34, 2025-12-23 21:06:57, -78,        5, (not associated) ,Free Wi-MESH
6E:04:3C:81:40:02, 2025-12-23 21:06:35, 2025-12-23 21:06:35, -90,        1, (not associated) ,
66:EB:82:9C:92:B3, 2025-12-23 21:06:35, 2025-12-23 21:06:35, -85,        1, (not associated) ,
A4:97:B1:DC:CA:77, 2025-12-23 21:06:35, 2025-12-23 21:07:40, -84,       13, 72:47:AD:4E:2F:4C,
AE:C6:C9:EF:5C:B2, 2025-12-23 21:06:35, 2025-12-23 21:06:35, -79,        1, (not associated) ,
72:2A:A8:0A:F5:3D, 2025-12-23 21:06:37, 2025-12-23 21:06:37, -89,        1, (not associated) ,
6A:48:FC:E0:10:D0, 2025-12-23 21:06:38, 2025-12-23 21:06:38, -76,        2, (not associated) ,
26:C4:6B:B1:14:88, 2025-12-23 21:06:39, 2025-12-23 21:06:39, -83,        1, (not associated) ,
3E:74:F3:A2:3F:A8, 2025-12-23 21:06:40, 2025-12-23 21:09:43, -89,        2, AA:34:6A:F5:1A:CC,
D4:57:63:BF:0D:86, 2025-12-23 21:06:40, 2025-12-23 21:06:44,  -1,       23, C8:08:73:13:C7:D8,
EA:F5:F3:AB:F7:93, 2025-12-23 21:06:41, 2025-12-23 21:06:41, -88,        1, (not associated) ,
82:C7:EB:4A:CB:C2, 2025-12-23 21:06:41, 2025-12-23 21:06:41, -78,        1, (not associated) ,
66:53:DF:1D:F6:40, 2025-12-23 21:06:41, 2025-12-23 21:06:41, -84,        1, (not associated) ,
E8:B0:C5:15:F0:D6, 2025-12-23 21:06:41, 2025-12-23 21:10:14, -87,       69, CE:DC:BE:7A:D3:23,
2C:9C:58:3A:05:AD, 2025-12-23 21:06:41, 2025-12-23 21:06:41, -88,        1, (not associated) ,
FA:D6:5A:BB:12:3F, 2025-12-23 21:06:42, 2025-12-23 21:06:42, -81,        1, (not associated) ,
58:C1:7A:D1:85:D0, 2025-12-23 21:06:42, 2025-12-23 21:09:56, -68,        7, (not associated) ,
BA:DD:1E:33:91:67, 2025-12-23 21:06:43, 2025-12-23 21:06:43, -82,        1, (not associated) ,
B4:A2:5C:46:0E:70, 2025-12-23 21:06:43, 2025-12-23 21:09:38, -79,        7, (not associated) ,
2C:3B:70:95:52:9F, 2025-12-23 21:06:43, 2025-12-23 21:06:43, -71,        1, (not associated) ,
C6:AF:52:FB:8C:1B, 2025-12-23 21:06:44, 2025-12-23 21:06:44, -73,        1, (not associated) ,
D6:23:29:34:97:18, 2025-12-23 21:06:44, 2025-12-23 21:06:44, -80,        1, (not associated) ,
8E:DB:BD:6C:3A:C5, 2025-12-23 21:06:44, 2025-12-23 21:06:44, -84,        1, (not associated) ,
BE:DF:9E:F0:DE:69, 2025-12-23 21:06:44, 2025-12-23 21:07:31, -85,        3, (not associated) ,Free Wi-MESH
88:D8:2E:5D:EB:E3, 2025-12-23 21:06:45, 2025-12-23 21:06:45, -67,        1, (not associated) ,HCMUTE-FIT
CA:8E:F5:8F:2B:D3, 2025-12-23 21:06:45, 2025-12-23 21:06:45, -86,        1, (not associated) ,
46:82:A4:36:25:C9, 2025-12-23 21:06:47, 2025-12-23 21:06:47, -86,        4, (not associated) ,X,Yen Tran,Duyet
CA:48:9A:87:CD:8A, 2025-12-23 21:06:47, 2025-12-23 21:06:47, -76,        1, (not associated) ,
B4:A2:5C:45:CC:50, 2025-12-23 21:06:48, 2025-12-23 21:10:01, -60,       23, (not associated) ,
34:6F:24:0D:10:A3, 2025-12-23 21:06:48, 2025-12-23 21:10:12, -84,        7, 06:77:23:53:3F:F5,lil black boy
A6:A9:AF:36:BA:7D, 2025-12-23 21:06:48, 2025-12-23 21:06:48, -88,        1, B4:A2:5C:45:F3:D0,
DA:47:B1:2B:4C:CB, 2025-12-23 21:06:49, 2025-12-23 21:06:49, -70,        1, (not associated) ,
4E:08:C0:E0:63:6B, 2025-12-23 21:06:50, 2025-12-23 21:06:50, -86,        2, (not associated) ,
C0:35:32:44:E6:31, 2025-12-23 21:06:51, 2025-12-23 21:07:29, -85,        2, (not associated) ,Free Wi-MESH
B4:A2:5C:45:C9:D0, 2025-12-23 21:06:51, 2025-12-23 21:10:06, -81,        8, (not associated) ,
1A:FF:43:53:04:07, 2025-12-23 21:06:51, 2025-12-23 21:06:51, -88,        1, (not associated) ,
12:3F:AC:68:41:F1, 2025-12-23 21:06:53, 2025-12-23 21:06:53, -88,        1, (not associated) ,Wi-MESH 2.4G
1A:38:A1:9E:B0:4B, 2025-12-23 21:06:53, 2025-12-23 21:06:53, -85,        1, (not associated) ,
E2:C2:14:B6:F4:B2, 2025-12-23 21:06:55, 2025-12-23 21:06:55, -83,        1, (not associated) ,
9C:2A:70:3F:80:8A, 2025-12-23 21:06:58, 2025-12-23 21:08:03, -89,        2, C8:3A:35:1B:DF:D0,
C2:75:5C:7C:3B:62, 2025-12-23 21:06:58, 2025-12-23 21:06:58, -85,        1, (not associated) ,
5E:AD:5A:61:61:97, 2025-12-23 21:06:58, 2025-12-23 21:06:58, -71,        1, (not associated) ,
