
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
62:D9:B3:D8:8D:B4, 2025-12-23 20:31:06, 2025-12-23 20:31:19, 11, 360, WPA2, CCMP, PSK, -76,       14,        0,   0.  0.  0.  0,  12, Quangdeptrai, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
92:8B:AD:11:20:ED, 2025-12-23 20:31:05, 2025-12-23 20:31:06, -88,        5, C8:08:73:13:C7:A8,#SPKT Free Miawifi
6E:90:EE:93:10:25, 2025-12-23 20:31:05, 2025-12-23 20:31:05, -84,        7, B4:A2:5C:45:C9:D0,
E8:B0:C5:A8:D1:76, 2025-12-23 20:31:05, 2025-12-23 20:31:23, -85,        6, 4C:8F:ED:E9:DD:2B,CauBeButChi
46:C5:7E:24:BA:0F, 2025-12-23 20:31:05, 2025-12-23 20:31:20,  -1,        2, C8:3A:35:1B:DF:D0,
E4:57:68:26:17:1D, 2025-12-23 20:31:06, 2025-12-23 20:31:08, -86,        2, 96:77:B1:76:B2:5C,
6A:90:D1:2A:4F:C1, 2025-12-23 20:31:06, 2025-12-23 20:31:24, -89,      231, C8:08:73:13:C7:A8,
6A:26:EC:9A:7E:10, 2025-12-23 20:31:06, 2025-12-23 20:31:06,  -1,        1, C8:3A:35:1B:DF:D0,
DE:51:0C:33:ED:8C, 2025-12-23 20:31:06, 2025-12-23 20:31:06, -65,        2, (not associated) ,HCMUTE-FIT
B8:1E:A4:D5:E3:13, 2025-12-23 20:31:06, 2025-12-23 20:31:06, -67,        2, 62:D9:B3:D8:8D:B4,
42:F9:16:77:7F:DA, 2025-12-23 20:31:07, 2025-12-23 20:31:07, -74,        1, (not associated) ,
CE:C2:8D:6D:A1:7E, 2025-12-23 20:31:07, 2025-12-23 20:31:07, -78,        1, (not associated) ,
E6:36:3D:AF:1A:9F, 2025-12-23 20:31:07, 2025-12-23 20:31:10,  -1,        3, C8:3A:35:1B:DF:D0,
AC:F2:3C:15:04:EF, 2025-12-23 20:31:07, 2025-12-23 20:31:07, -83,        1, 6A:C2:3E:55:4F:D0,
06:DB:D3:85:14:C8, 2025-12-23 20:31:07, 2025-12-23 20:31:07, -86,        1, (not associated) ,
C6:08:C2:CA:44:B9, 2025-12-23 20:31:08, 2025-12-23 20:31:08, -91,        1, (not associated) ,
2E:E7:D7:23:3D:DB, 2025-12-23 20:31:08, 2025-12-23 20:31:08, -74,        3, (not associated) ,
9E:DE:93:A7:D2:49, 2025-12-23 20:31:08, 2025-12-23 20:31:24, -79,       32, B4:A2:5C:45:F3:D0,UTE WIFI
32:33:A4:E4:47:B7, 2025-12-23 20:31:08, 2025-12-23 20:31:08, -85,        1, (not associated) ,
A2:AE:C8:E3:5C:51, 2025-12-23 20:31:09, 2025-12-23 20:31:09, -85,        3, (not associated) ,Anh hẹn e pickle ball🥰,Nii..iii,VANMINH
66:68:FD:67:DA:A8, 2025-12-23 20:31:09, 2025-12-23 20:31:09, -78,        1, (not associated) ,
E2:A1:18:83:B2:2B, 2025-12-23 20:31:09, 2025-12-23 20:31:09, -79,        1, (not associated) ,
BE:68:7E:B4:ED:DC, 2025-12-23 20:31:09, 2025-12-23 20:31:09, -89,        1, (not associated) ,
6A:28:30:FD:8F:A0, 2025-12-23 20:31:10, 2025-12-23 20:31:10, -82,        1, (not associated) ,
46:D7:3B:A1:93:3F, 2025-12-23 20:31:10, 2025-12-23 20:31:24, -87,       37, 66:51:DE:22:1B:3B,
5E:9E:4C:BC:C4:EF, 2025-12-23 20:31:10, 2025-12-23 20:31:10, -82,        1, (not associated) ,
E8:B0:C5:15:F0:D6, 2025-12-23 20:31:10, 2025-12-23 20:31:21, -82,       32, CE:DC:BE:7A:D3:23,
0E:D6:2F:8E:6A:AE, 2025-12-23 20:31:11, 2025-12-23 20:31:11, -77,        1, (not associated) ,
60:E9:AA:C8:46:AB, 2025-12-23 20:31:11, 2025-12-23 20:31:18, -90,        5, 04:BD:88:69:2B:00,
86:5B:DC:54:AD:D5, 2025-12-23 20:31:12, 2025-12-23 20:31:12, -79,        1, (not associated) ,
84:7B:57:B0:77:F5, 2025-12-23 20:31:12, 2025-12-23 20:31:20, -64,        5, (not associated) ,
38:BA:F8:2F:D3:E8, 2025-12-23 20:31:12, 2025-12-23 20:31:12, -73,        1, (not associated) ,Wi-MESH - HCMUTE
EE:8D:EF:2F:C2:C9, 2025-12-23 20:31:12, 2025-12-23 20:31:12, -85,        1, (not associated) ,
26:8E:36:4C:C5:A5, 2025-12-23 20:31:12, 2025-12-23 20:31:12, -86,        1, (not associated) ,
