
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
62:D9:B3:D8:8D:B4, 2025-12-23 20:33:01, 2025-12-23 20:34:40, 11, 360, WPA2, CCMP, PSK, -42,      488,      553,   0.  0.  0.  0,  12, Quangdeptrai, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
DE:C4:A0:C8:69:F7, 2025-12-23 20:33:01, 2025-12-23 20:33:01, -82,        3, 20:A6:CD:73:88:60,
40:9F:38:23:87:E5, 2025-12-23 20:33:01, 2025-12-23 20:33:01, -64,        3, 44:48:A1:82:34:60,
B8:1E:A4:D5:E3:13, 2025-12-23 20:33:01, 2025-12-23 20:34:31, -28,      133, 62:D9:B3:D8:8D:B4,Quangdeptrai,HCMUTE-FIT
C4:46:19:72:4B:DE, 2025-12-23 20:33:01, 2025-12-23 20:34:40, -86,      288, A8:BD:27:D6:6B:A0,
D8:B3:2F:11:BC:41, 2025-12-23 20:33:01, 2025-12-23 20:34:40, -89,      279, CA:1E:BF:3B:6B:F5,
76:A4:1A:15:E5:8E, 2025-12-23 20:33:02, 2025-12-23 20:33:40, -79,      305, A8:BD:27:D6:69:41,Wi-MESH 2.4G
E0:0A:F6:9C:8A:19, 2025-12-23 20:33:02, 2025-12-23 20:34:35, -85,       98, 4A:2F:49:32:13:A7,Galaxy A13 55E2
42:F2:08:F4:76:91, 2025-12-23 20:33:02, 2025-12-23 20:33:18, -86,        2, A8:BD:27:D6:69:41,
12:48:70:81:57:E1, 2025-12-23 20:33:02, 2025-12-23 20:34:37, -44,      430, 62:D9:B3:D8:8D:B4,Quangdeptrai
24:B2:B9:AF:9C:ED, 2025-12-23 20:33:02, 2025-12-23 20:34:05, -82,       29, F6:DF:73:30:BC:C6,
A6:5E:2E:B7:DE:CB, 2025-12-23 20:33:03, 2025-12-23 20:33:06, -84,        2, (not associated) ,
DC:97:BA:5D:0F:2A, 2025-12-23 20:33:03, 2025-12-23 20:34:27, -90,       65, A8:BD:27:D6:69:42,
36:97:53:6D:0B:EB, 2025-12-23 20:33:04, 2025-12-23 20:34:38, -86,      247, A8:BD:27:D6:6B:A2,Wi-MESH - HCMUTE
4A:86:04:CB:75:6A, 2025-12-23 20:33:04, 2025-12-23 20:34:15, -82,        2, (not associated) ,Free Wi-MESH
