
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
4C:8F:ED:E9:DD:2B, 2025-12-14 21:34:50, 2025-12-14 21:58:34,  1, 180, WPA2, CCMP, PSK, -72,     4093,      493,   0.  0.  0.  0,  11, CauBeButChi, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
56:EA:19:07:31:29, 2025-12-14 21:34:50, 2025-12-14 21:58:34, -68,     1350, 4C:8F:ED:E9:DD:2B,
50:5A:65:7D:E7:EB, 2025-12-14 21:34:50, 2025-12-14 21:58:34, -66,    25994, A2:0C:92:B6:AD:AC,
96:33:92:D8:43:CC, 2025-12-14 21:34:50, 2025-12-14 21:58:34, -74,     6048, 4C:8F:ED:E9:DD:2B,CauBeButChi
E6:D8:D5:76:D8:2F, 2025-12-14 21:34:50, 2025-12-14 21:34:50, -83,        1, (not associated) ,
A2:7B:59:6D:A4:04, 2025-12-14 21:34:50, 2025-12-14 21:34:51, -73,        2, (not associated) ,
9A:47:35:15:72:7A, 2025-12-14 21:34:50, 2025-12-14 21:36:01, -54,        5, (not associated) ,
A2:49:BA:DF:5C:B4, 2025-12-14 21:34:50, 2025-12-14 21:37:35, -86,        2, (not associated) ,
96:CA:02:F0:8E:80, 2025-12-14 21:34:51, 2025-12-14 21:34:51, -72,        1, (not associated) ,
FC:E8:C0:CE:6E:94, 2025-12-14 21:34:52, 2025-12-14 21:58:34, -67,      384, (not associated) ,test1
8A:3A:A0:F0:6E:85, 2025-12-14 21:34:52, 2025-12-14 21:40:50,  -1,        7, 94:B4:0F:0B:24:20,
F0:03:8C:18:D7:6F, 2025-12-14 21:34:52, 2025-12-14 21:57:19, -65,       27, (not associated) ,Free Wi-MESH
EA:5C:0B:FE:D6:36, 2025-12-14 21:34:52, 2025-12-14 21:34:52, -70,        2, (not associated) ,
94:BB:43:75:38:B5, 2025-12-14 21:34:53, 2025-12-14 21:58:34, -63,      641, (not associated) ,
0A:0A:A1:BC:0B:F3, 2025-12-14 21:34:53, 2025-12-14 21:34:53, -88,        2, (not associated) ,
42:9D:89:48:D6:10, 2025-12-14 21:34:54, 2025-12-14 21:34:54,  -1,        1, 94:B4:0F:0B:24:22,
34:6F:24:28:4D:F9, 2025-12-14 21:34:54, 2025-12-14 21:58:31, -46,      725, (not associated) ,Free Wi-MESH
0A:CE:80:7C:1A:D4, 2025-12-14 21:34:55, 2025-12-14 21:57:02, -90,        2, (not associated) ,
98:3B:8F:DB:49:9F, 2025-12-14 21:34:55, 2025-12-14 21:35:01, -71,        8, (not associated) ,DIRECT-
E6:74:84:21:36:AB, 2025-12-14 21:34:55, 2025-12-14 21:35:13, -90,       97, 44:48:A1:95:C5:01,
9E:D2:40:7B:E4:0C, 2025-12-14 21:34:57, 2025-12-14 21:34:57, -62,        1, (not associated) ,
22:48:42:F5:4E:D8, 2025-12-14 21:34:57, 2025-12-14 21:34:57, -56,        2, (not associated) ,
8E:C6:22:FA:58:86, 2025-12-14 21:34:57, 2025-12-14 21:58:30, -70,     6134, C8:B5:AD:30:67:40,
1E:19:E6:96:17:07, 2025-12-14 21:34:58, 2025-12-14 21:47:10, -71,        8, (not associated) ,MINK,Phung Yen
5A:13:38:95:09:59, 2025-12-14 21:34:58, 2025-12-14 21:34:58, -80,        1, (not associated) ,
82:CB:18:7C:8E:F4, 2025-12-14 21:34:59, 2025-12-14 21:35:08, -87,        6, 44:48:A1:93:FA:02,
76:E2:D1:0C:50:2D, 2025-12-14 21:35:00, 2025-12-14 21:37:29, -79,        6, 80:8D:B7:ED:07:11,
A6:69:7B:C7:FC:7E, 2025-12-14 21:35:00, 2025-12-14 21:58:32, -61,      127, (not associated) ,
C6:27:88:5E:1D:47, 2025-12-14 21:35:01, 2025-12-14 21:35:01, -60,        3, (not associated) ,
84:1B:77:FB:32:22, 2025-12-14 21:35:01, 2025-12-14 21:55:05, -54,        5, (not associated) ,Wi-MESH - HCMUTE
A6:DB:3C:DD:7D:9D, 2025-12-14 21:35:02, 2025-12-14 21:35:02, -34,        1, (not associated) ,
76:77:2A:97:B8:4A, 2025-12-14 21:35:02, 2025-12-14 21:35:02, -81,        1, (not associated) ,
2C:3B:70:D7:A3:31, 2025-12-14 21:35:02, 2025-12-14 21:54:14, -73,        3, (not associated) ,
3A:B1:EB:7A:3B:9D, 2025-12-14 21:35:04, 2025-12-14 21:35:04, -78,        1, (not associated) ,
FA:DC:8E:E4:BE:EF, 2025-12-14 21:35:05, 2025-12-14 21:35:05, -78,        1, (not associated) ,
8E:6E:09:E5:72:DA, 2025-12-14 21:35:06, 2025-12-14 21:35:06, -72,        4, (not associated) ,
78:AF:08:E5:3B:2F, 2025-12-14 21:35:06, 2025-12-14 21:57:38, -66,        8, (not associated) ,Free Wi-MESH
96:66:9F:86:A4:BD, 2025-12-14 21:35:06, 2025-12-14 21:35:06, -74,        1, (not associated) ,
EE:75:D2:0E:84:F8, 2025-12-14 21:35:06, 2025-12-14 21:35:06, -81,        1, (not associated) ,
DE:7B:BC:3E:8C:BD, 2025-12-14 21:35:08, 2025-12-14 21:55:04, -61,        9, (not associated) ,Wi-MESH - HCMUTE
50:5A:65:C9:AA:51, 2025-12-14 21:35:10, 2025-12-14 21:57:43, -84,       55, (not associated) ,
14:75:5B:CC:25:09, 2025-12-14 21:35:10, 2025-12-14 21:55:24, -73,        5, (not associated) ,Wi-MESH - HCMUTE
AA:DF:37:2F:5F:93, 2025-12-14 21:35:10, 2025-12-14 21:35:10, -73,        1, (not associated) ,
3E:72:00:DE:8C:E0, 2025-12-14 21:35:11, 2025-12-14 21:35:11, -82,        1, (not associated) ,
DE:C4:5D:CF:DB:1E, 2025-12-14 21:35:12, 2025-12-14 21:35:12, -66,        1, (not associated) ,
EA:BD:B9:3C:01:22, 2025-12-14 21:35:12, 2025-12-14 21:35:19, -76,        8, (not associated) ,TPBank
46:F3:2D:0D:9C:CA, 2025-12-14 21:35:13, 2025-12-14 21:53:30, -73,        8, (not associated) ,coongming
A2:EA:16:9B:F6:DD, 2025-12-14 21:35:13, 2025-12-14 21:35:13, -81,        1, (not associated) ,
CE:26:88:AB:87:C0, 2025-12-14 21:35:14, 2025-12-14 21:35:14, -70,        2, (not associated) ,
1E:4E:89:CC:5C:90, 2025-12-14 21:35:14, 2025-12-14 21:35:14, -84,        1, (not associated) ,
D0:39:57:60:28:61, 2025-12-14 21:35:16, 2025-12-14 21:35:16, -78,        1, (not associated) ,
9A:9C:76:C2:AB:73, 2025-12-14 21:35:17, 2025-12-14 21:35:17, -82,        1, (not associated) ,
E8:B0:C5:A8:D1:76, 2025-12-14 21:35:17, 2025-12-14 21:58:34, -67,     5367, 4C:8F:ED:E9:DD:2B,Free Wi-MESH,CauBeButChi
D2:70:13:C7:F8:BE, 2025-12-14 21:35:17, 2025-12-14 21:35:47, -63,        3, (not associated) ,
AA:7B:72:E6:B8:A7, 2025-12-14 21:35:17, 2025-12-14 21:35:17, -86,        1, (not associated) ,cloudtrax secure
BE:F8:01:18:B1:73, 2025-12-14 21:35:19, 2025-12-14 21:38:14, -73,        4, (not associated) ,
CA:92:96:89:07:A7, 2025-12-14 21:35:19, 2025-12-14 21:56:26, -92,       45, 44:48:A1:93:FA:02,
AE:5E:E0:FD:65:E5, 2025-12-14 21:35:21, 2025-12-14 21:35:21, -65,        3, (not associated) ,
2E:C9:F9:5A:1F:40, 2025-12-14 21:35:21, 2025-12-14 21:35:21, -89,        1, (not associated) ,
C2:62:DE:33:A3:BF, 2025-12-14 21:35:21, 2025-12-14 21:35:21, -75,        1, (not associated) ,
5E:40:69:C7:46:04, 2025-12-14 21:35:22, 2025-12-14 21:35:22, -82,        1, (not associated) ,
