
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
6E:BF:DD:6C:5B:E8, 2025-12-15 09:38:04, 2025-12-15 09:40:38,  6, 130, WPA2, CCMP, PSK, -22,     1292,      427,   0.  0.  0.  0,   7, QuangDT, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
8A:33:07:2D:02:F5, 2025-12-15 09:38:04, 2025-12-15 09:40:39, -78,    15686, FC:B4:D6:1D:17:68,
56:40:66:36:05:B9, 2025-12-15 09:38:04, 2025-12-15 09:40:38, -84,      557, 34:36:54:F4:BA:5D,
46:B2:33:03:19:6F, 2025-12-15 09:38:04, 2025-12-15 09:40:38, -28,     1444, 6E:BF:DD:6C:5B:E8,QuangDT
58:91:CF:8B:42:2D, 2025-12-15 09:38:07, 2025-12-15 09:40:37, -89,       34, FC:B4:D6:1D:17:68,
8E:22:E5:09:43:5B, 2025-12-15 09:38:07, 2025-12-15 09:40:34, -79,     8278, FC:B4:D6:1D:17:68,Long Lan 2.4Ghz
BA:57:D7:57:4D:D9, 2025-12-15 09:38:08, 2025-12-15 09:40:26, -54,       38, (not associated) ,B095
40:AC:BF:02:87:A7, 2025-12-15 09:38:08, 2025-12-15 09:40:33, -89,       42, (not associated) ,Xstadium TD
48:8F:4C:53:45:31, 2025-12-15 09:38:08, 2025-12-15 09:38:09,  -1,        5, CC:29:BD:1A:4F:4B,
6E:64:A7:F0:2B:7C, 2025-12-15 09:38:10, 2025-12-15 09:39:58,  -1,       27, FC:B4:D6:1D:17:68,
44:E5:17:CB:24:15, 2025-12-15 09:38:13, 2025-12-15 09:38:13, -68,        2, (not associated) ,
E0:BA:AD:1D:A2:D4, 2025-12-15 09:38:16, 2025-12-15 09:38:16, -90,        1, (not associated) ,
2E:24:ED:17:22:14, 2025-12-15 09:38:17, 2025-12-15 09:38:51, -55,        4, C0:51:5C:C6:98:57,
9C:2F:9D:67:BB:A5, 2025-12-15 09:38:20, 2025-12-15 09:38:20, -59,        4, (not associated) ,
1A:3D:2D:01:61:42, 2025-12-15 09:38:42, 2025-12-15 09:40:33, -93,       10, FC:B4:D6:1D:17:68,
40:EE:15:89:AE:B4, 2025-12-15 09:38:42, 2025-12-15 09:40:27, -89,        5, E0:63:DA:BD:60:62,
B8:1E:A4:D5:E3:13, 2025-12-15 09:38:50, 2025-12-15 09:38:50, -30,        2, (not associated) ,
9E:4C:32:F4:66:6D, 2025-12-15 09:38:52, 2025-12-15 09:38:52, -88,        1, (not associated) ,
48:8F:4C:5B:81:A4, 2025-12-15 09:39:00, 2025-12-15 09:39:00,  -1,        2, CC:29:BD:1A:4F:4B,
DA:43:BF:0E:B8:03, 2025-12-15 09:39:16, 2025-12-15 09:40:22, -76,        6, C0:51:5C:C6:98:57,B095
10:A4:BE:A7:BB:E5, 2025-12-15 09:39:42, 2025-12-15 09:40:36, -81,        3, (not associated) ,ROUTER
B0:DC:EF:AF:5C:AD, 2025-12-15 09:39:47, 2025-12-15 09:39:47, -42,        3, (not associated) ,Iu em <3
0E:CB:57:C6:EF:F7, 2025-12-15 09:40:25, 2025-12-15 09:40:25, -86,        1, (not associated) ,

